Model_1,Model_2,Metric,n_model1,n_model2,p,A12,A12_interpretation
DeepSeek-V3-0324 (I/O),deepseek-v2 (I/O),f1,6,6,0.0312,1.0000,large; Model1 > Model2
DeepSeek-V3-0324 (I/O),gpt-35-turbo (I/O),f1,6,6,0.0312,1.0000,large; Model1 > Model2
DeepSeek-V3-0324 (I/O),gpt-4 (I/O),f1,6,6,0.0938,0.8889,large; Model1 > Model2
DeepSeek-V3-0324 (I/O),gpt-4o (I/O),f1,6,6,0.1562,0.8333,large; Model1 > Model2
DeepSeek-V3-0324 (I/O),gpt-4o-mini (I/O),f1,6,6,0.0312,1.0000,large; Model1 > Model2
DeepSeek-V3-0324 (I/O),gpt-5-chat (I/O),f1,6,6,0.0312,0.9444,large; Model1 > Model2
DeepSeek-V3-0324 (I/O),mistral (I/O),f1,6,6,0.0312,1.0000,large; Model1 > Model2
deepseek-v2 (I/O),gpt-35-turbo (I/O),f1,6,6,0.0312,0.0000,large; Model1 < Model2
deepseek-v2 (I/O),gpt-4 (I/O),f1,6,6,0.0312,0.0000,large; Model1 < Model2
deepseek-v2 (I/O),gpt-4o (I/O),f1,6,6,0.0312,0.0000,large; Model1 < Model2
deepseek-v2 (I/O),gpt-4o-mini (I/O),f1,6,6,0.0312,0.0000,large; Model1 < Model2
deepseek-v2 (I/O),gpt-5-chat (I/O),f1,6,6,0.0312,0.0000,large; Model1 < Model2
deepseek-v2 (I/O),mistral (I/O),f1,6,6,0.0312,0.0000,large; Model1 < Model2
gpt-35-turbo (I/O),gpt-4 (I/O),f1,6,6,0.0312,0.0000,large; Model1 < Model2
gpt-35-turbo (I/O),gpt-4o (I/O),f1,6,6,0.0312,0.0000,large; Model1 < Model2
gpt-35-turbo (I/O),gpt-4o-mini (I/O),f1,6,6,0.0312,0.0000,large; Model1 < Model2
gpt-35-turbo (I/O),gpt-5-chat (I/O),f1,6,6,0.1562,0.2778,large; Model1 < Model2
gpt-35-turbo (I/O),mistral (I/O),f1,6,6,0.0312,0.0000,large; Model1 < Model2
gpt-4 (I/O),gpt-4o (I/O),f1,6,6,0.3750,0.3333,medium; Model1 < Model2
gpt-4 (I/O),gpt-4o-mini (I/O),f1,6,6,0.0625,0.8333,large; Model1 > Model2
gpt-4 (I/O),gpt-5-chat (I/O),f1,6,6,0.0938,0.7778,large; Model1 > Model2
gpt-4 (I/O),mistral (I/O),f1,6,6,0.0312,1.0000,large; Model1 > Model2
gpt-4o (I/O),gpt-4o-mini (I/O),f1,6,6,0.0312,0.9444,large; Model1 > Model2
gpt-4o (I/O),gpt-5-chat (I/O),f1,6,6,0.0938,0.8333,large; Model1 > Model2
gpt-4o (I/O),mistral (I/O),f1,6,6,0.0312,1.0000,large; Model1 > Model2
gpt-4o-mini (I/O),gpt-5-chat (I/O),f1,6,6,0.3125,0.6389,small; Model1 > Model2
gpt-4o-mini (I/O),mistral (I/O),f1,6,6,0.0312,1.0000,large; Model1 > Model2
gpt-5-chat (I/O),mistral (I/O),f1,6,6,0.5625,0.6667,medium; Model1 > Model2
