Algorithm,SUT,critical_ratio_mean,critical_ratio_std,failures_mean,failures_std
Random,IPA_YELP_DeepSeek-V3-0324,0.10548417002476375,0.01809186517759191,51.666666666666664,10.308572484426088
T-wise,IPA_YELP_DeepSeek-V3-0324,0.09960721485517149,0.010772283627641453,59.0,3.22490309931942
STELLAR,IPA_YELP_DeepSeek-V3-0324,0.24411688242033114,0.04058455935105894,170.5,51.60135657131506
Random,IPA_YELP_gpt-4o,0.0753264595657193,0.0067123272694900055,82.33333333333333,11.236844159579087
T-wise,IPA_YELP_gpt-4o,0.06375603625929398,0.0054130035201015595,65.66666666666667,12.192894105447921
STELLAR,IPA_YELP_gpt-4o,0.24390753211145907,0.09615062616545939,302.3333333333333,112.2954436594231
Random,IPA_YELP_gpt-5-chat,0.05881926498263063,0.009724411636465908,62.166666666666664,14.510915431724722
T-wise,IPA_YELP_gpt-5-chat,0.051685940031180044,0.006492429658909379,54.166666666666664,8.773064838850027
STELLAR,IPA_YELP_gpt-5-chat,0.19833168095109757,0.08018509571994213,247.83333333333334,82.49949494794903
Random,IPA_YELP_mistral,0.2538842319154834,0.029251524448610393,126.83333333333333,17.81478786476748
T-wise,IPA_YELP_mistral,0.24914634740551747,0.012603797264155992,180.5,9.710818709048171
STELLAR,IPA_YELP_mistral,0.39462443897653654,0.05731709624837832,219.83333333333334,30.934877835004723
