Algorithm,SUT,failures_mean,failures_std,failures_values,critical_ratio_mean,critical_ratio_std,critical_ratio_values
Random,deepseek-v2,451.1666666666667,18.28022611092835,"[480, 447, 462, 443, 449, 426]",0.3832752065301202,0.01845362744536977,"[0.40336134453781514, 0.3511390416339356, 0.3979328165374677, 0.38791593695271454, 0.37826453243470937, 0.3810375670840787]"
T-wise,deepseek-v2,389.1666666666667,35.941155611174594,"[428, 403, 338, 365, 426, 375]",0.32160247693571425,0.013482700721340366,"[0.3388756927949327, 0.31484375, 0.31471135940409684, 0.30190239867659224, 0.3294663573085847, 0.32981530343007914]"
STELLAR,deepseek-v2,690.0,112.8379368829473,"[750, 588, 583, 774, 843, 602]",0.5712360255926628,0.035001065561517324,"[0.6147540983606558, 0.588, 0.583, 0.5691176470588235, 0.5623749166110741, 0.5101694915254237]"
ASTRAL,deepseek-v2,397.3333333333333,24.784403698024825,"[391, 361, 392, 418, 432, 390]",0.28470575277834953,0.006856445038415182,"[0.28771155261221487, 0.27494287890327496, 0.2792022792022792, 0.2830060934326337, 0.2918918918918919, 0.2914798206278027]"
Random,mistral,521.1666666666666,19.76275959137961,"[532, 528, 538, 534, 508, 487]",0.49436517804820185,0.017446080742079217,"[0.5018867924528302, 0.5161290322580645, 0.5056390977443609, 0.49536178107606677, 0.47343895619757687, 0.47373540856031127]"
T-wise,mistral,470.6666666666667,17.235622027262803,"[467, 453, 497, 486, 464, 457]",0.43785500349000084,0.00961858049822563,"[0.4288337924701561, 0.43768115942028984, 0.4555453712190651, 0.43981900452488687, 0.43042671614100186, 0.43482397716460514]"
STELLAR,mistral,812.0,192.77862952101304,"[708, 1012, 1025, 903, 638, 586]",0.8033679033677563,0.04674130567692999,"[0.8045454545454546, 0.8433333333333334, 0.8541666666666666, 0.778448275862069, 0.7258248009101251, 0.8138888888888889]"
ASTRAL,mistral,621.0,23.34951819631403,"[634, 644, 636, 628, 586, 598]",0.5315658991524385,0.008391722113305909,"[0.529657477025898, 0.5434599156118144, 0.534453781512605, 0.5367521367521367, 0.5246195165622203, 0.5204525674499565]"
Random,DeepSeek-V3-0324,273.1666666666667,47.73014421376355,"[317, 204, 226, 319, 285, 288]",0.43060943969439064,0.010394585731089067,"[0.43543956043956045, 0.4340425531914894, 0.4388349514563107, 0.44, 0.42035398230088494, 0.414985590778098]"
T-wise,DeepSeek-V3-0324,263.6666666666667,60.198560337159776,"[209, 179, 337, 260, 290, 307]",0.41737260149580985,0.008718549687967663,"[0.4163346613545817, 0.40315315315315314, 0.4287531806615776, 0.4234527687296417, 0.4142857142857143, 0.41825613079019075]"
